date,home_team,away_team,home_shots,away_shots,home_sot,away_sot
2016-03-06,Genoa,Empoli,15,10,5,1
2016-03-06,Frosinone,Udinese,23,6,4,2
2016-03-06,Sassuolo,AC Milan,16,13,4,5
2016-03-06,Atalanta,Juventus,13,9,3,4
2016-03-06,Torino,Lazio,13,12,4,5
2016-03-11,Juventus,Sassuolo,16,7,7,2
2016-03-12,Empoli,Sampdoria,15,13,5,5
2016-03-12,Inter,Bologna,17,6,3,1
2016-03-13,Palermo,Napoli,5,18,1,7
2016-03-13,Lazio,Atalanta,5,11,2,1
2016-03-13,Genoa,Torino,13,9,6,5
2016-03-13,Fiorentina,Verona,10,12,4,4
2016-03-13,Carpi,Frosinone,12,13,3,4
2016-03-13,Udinese,Roma,10,15,3,7
2016-03-13,Chievo,AC Milan,20,10,5,1
2016-03-19,Empoli,Palermo,12,13,3,2
2016-03-19,Roma,Inter,16,6,6,2
2016-03-20,AC Milan,Lazio,20,9,5,2
2016-03-20,Napoli,Genoa,22,9,11,2
2016-03-20,Sassuolo,Udinese,13,8,1,3
2016-03-20,Torino,Juventus,10,14,6,7
2016-03-20,Atalanta,Bologna,14,9,7,2
2016-03-20,Sampdoria,Chievo,16,12,6,6
2016-03-20,Verona,Carpi,8,11,3,5
2016-03-20,Frosinone,Fiorentina,14,25,5,6
2016-04-02,Carpi,Sassuolo,11,9,1,7
2016-04-02,Juventus,Empoli,19,9,9,3
2016-04-03,Atalanta,AC Milan,10,12,4,3
2016-04-03,Udinese,Napoli,11,11,6,2
2016-04-03,Chievo,Palermo,9,14,4,4
2016-04-03,Lazio,Roma,18,17,3,6
2016-04-03,Fiorentina,Sampdoria,20,8,8,4
2016-04-03,Genoa,Frosinone,21,9,9,2
2016-04-03,Inter,Torino,10,12,2,3
2016-04-04,Bologna,Verona,9,4,1,1
2016-04-09,Frosinone,Inter,15,20,2,3
2016-04-09,Sassuolo,Genoa,17,9,5,4
2016-04-09,Chievo,Carpi,17,13,3,3
2016-04-09,AC Milan,Juventus,11,9,5,4
2016-04-10,Empoli,Fiorentina,7,22,4,5
2016-04-10,Napoli,Verona,19,8,6,1
2016-04-10,Torino,Atalanta,5,16,3,7
2016-04-10,Sampdoria,Udinese,15,17,5,2
2016-04-10,Palermo,Lazio,7,19,2,7
2016-04-11,Roma,Bologna,14,7,5,2
2016-04-16,Bologna,Torino,8,6,1,3
2016-04-16,Carpi,Genoa,15,16,10,3
2016-04-16,Inter,Napoli,11,10,3,2
2016-04-17,Sampdoria,AC Milan,10,14,3,3
2016-04-17,Lazio,Empoli,20,6,7,1
2016-04-17,Verona,Frosinone,15,13,5,2
2016-04-17,Fiorentina,Sassuolo,13,10,5,1
2016-04-17,Juventus,Palermo,16,10,6,3
2016-04-17,Atalanta,Roma,13,17,4,7
2016-04-17,Udinese,Chievo,15,5,3,2
2016-04-19,Napoli,Bologna,20,5,14,0
2016-04-20,Juventus,Lazio,19,7,12,1
2016-04-20,Sassuolo,Sampdoria,23,4,8,2
2016-04-20,Roma,Torino,20,13,6,5
2016-04-20,Palermo,Atalanta,14,11,3,4
2016-04-20,Udinese,Fiorentina,10,9,3,3
2016-04-20,Chievo,Frosinone,22,9,8,2
2016-04-20,Empoli,Verona,12,21,7,6
2016-04-20,Genoa,Inter,16,17,5,3
2016-04-21,AC Milan,Carpi,19,6,3,2
2016-04-23,Inter,Udinese,25,12,9,5
2016-04-24,Frosinone,Palermo,16,7,4,2
2016-04-24,Torino,Sassuolo,15,12,3,4
2016-04-24,Sampdoria,Lazio,13,20,7,4
2016-04-24,Bologna,Genoa,11,5,5,3
2016-04-24,Atalanta,Chievo,11,10,5,2
2016-04-24,Fiorentina,Juventus,21,6,7,2
2016-04-25,Roma,Napoli,9,9,3,4
2016-04-25,Verona,AC Milan,28,11,12,5
2016-04-25,Carpi,Empoli,16,8,3,3
2016-04-30,Udinese,Torino,13,15,4,6
2016-04-30,Chievo,Fiorentina,8,20,4,5
2016-05-01,Lazio,Inter,9,15,4,4
2016-05-01,Sassuolo,Verona,6,16,1,2
2016-05-01,AC Milan,Frosinone,24,9,11,4
2016-05-01,Palermo,Sampdoria,10,9,4,3
2016-05-01,Juventus,Carpi,19,11,3,1
2016-05-01,Empoli,Bologna,5,16,1,5
2016-05-02,Genoa,Roma,14,20,5,9
2016-05-02,Napoli,Atalanta,18,4,10,2
2016-05-07,Inter,Empoli,13,14,5,2
2016-05-07,Bologna,AC Milan,8,15,1,5
2016-05-08,Verona,Juventus,12,16,4,5
2016-05-08,Roma,Chievo,23,11,11,4
2016-05-08,Sampdoria,Genoa,12,18,3,7
2016-05-08,Fiorentina,Palermo,21,4,4,0
2016-05-08,Frosinone,Sassuolo,18,21,4,5
2016-05-08,Atalanta,Udinese,8,4,2,2
2016-05-08,Carpi,Lazio,26,16,9,5
2016-05-08,Torino,Napoli,7,15,2,6
2016-05-14,AC Milan,Roma,14,16,6,9
2016-05-14,Napoli,Frosinone,33,9,12,2
2016-05-14,Juventus,Sampdoria,24,7,12,1
2016-05-14,Sassuolo,Inter,9,11,3,6
2016-05-15,Empoli,Torino,10,18,3,5
2016-05-15,Genoa,Atalanta,11,13,2,3
2016-05-15,Chievo,Bologna,5,16,0,4
2016-05-15,Udinese,Carpi,15,10,5,5
2016-05-15,Lazio,Fiorentina,16,16,6,5
2016-05-15,Palermo,Verona,5,14,3,4
2016-08-20,Roma,Udinese,25,11,9,1
2016-08-20,Juventus,Fiorentina,19,4,4,1
2016-08-21,Genoa,Cagliari,22,4,6,3
2016-08-21,Chievo,Inter,12,13,4,3
2016-08-21,Bologna,Crotone,20,5,6,0
2016-08-21,Empoli,Sampdoria,8,16,3,5
2016-08-21,Pescara,Napoli,9,22,3,4
2016-08-21,Palermo,Sassuolo,7,22,2,8
2016-08-21,AC Milan,Torino,11,21,5,4
2016-08-21,Atalanta,Lazio,18,11,5,6
2016-08-27,Lazio,Juventus,6,13,1,5
2016-08-27,Napoli,AC Milan,17,12,8,3
2016-08-28,Fiorentina,Chievo,13,9,3,2
2016-08-28,Crotone,Genoa,11,18,3,8
2016-08-28,Cagliari,Roma,18,21,5,7
2016-08-28,Udinese,Empoli,11,13,3,4
2016-08-28,Torino,Bologna,20,10,11,2
2016-08-28,Sampdoria,Atalanta,8,7,4,1
2016-08-28,Inter,Palermo,22,7,4,3
2016-08-28,Sassuolo,Pescara,13,15,3,5
2016-09-10,Juventus,Sassuolo,23,9,10,3
2016-09-10,Palermo,Napoli,5,17,1,7
2016-09-11,Atalanta,Torino,22,14,3,7
2016-09-11,Pescara,Inter,10,22,5,7
2016-09-11,Roma,Sampdoria,24,12,8,7
2016-09-11,Bologna,Cagliari,17,11,10,5
2016-09-11,Chievo,Lazio,7,11,4,3
2016-09-11,AC Milan,Udinese,14,10,2,2
